activity,x-axis,y-axis,z-axis
int64,float64,float64,float64
1,-1.6717237,6.217471,5.944439
1,-1.7723145,5.992339,6.6198343999999985
1,-1.5232325,5.8103175,6.864126
1,-1.5615528,5.484595,8.018526
1,-2.0549269,5.1924024000000015,8.962164
1,-2.5914114,4.90979,9.948912
1,-3.1278956,4.430786,11.050621
1,-3.8080812000000006,3.7410207,12.276871
1,-4.0811133,3.132685700000001,12.674444
1,-4.397256,2.6297317,13.177398
1,-4.9002104000000015,1.9351759,14.3749075
1,-5.087022,1.3268409,15.347286
1,-4.7708793,0.7376661,15.749649
1,-3.8416114,-0.06227051,15.620318
1,-3.1135256,-0.68976563,15.399976
1,-2.3710694,-1.7004639,13.948594
1,-1.8154249,-3.2236965,12.15712
1,-2.179468,-4.761299,10.341695
1,-2.203418,-6.830596000000001,7.807764
1,-1.2454101999999998,-9.062755,2.5291407
1,-0.6562354,-9.862691,-4.86189
1,-0.07664063,-10.585987,-8.487949
1,0.3305127,-10.6817875,-9.469908
1,-0.24908204,-9.594449,-14.796432
1,-1.1064991000000002,-9.134604,-18.796114000000006
1,-1.829795,-6.8737062999999985,-20.463047
1,-0.6322852,-4.382886,-23.068829
1,-0.488584,-1.1783496,-25.430319
1,-1.0538087,1.2118799999999998,-23.552624
1,-0.7807764,1.1687696,-19.758911
1,-0.3784131,0.9580079,-19.351759
1,-0.119750984,1.6860938,-21.416265
1,-0.14370118,2.3375392,-22.570665
1,-0.6514453,2.4333398,-22.834118
1,-0.68976563,2.3950195,-23.12152
1,-0.8143066999999999,2.2417383,-23.23648
1,-0.5221143,2.0309765,-22.091661
1,0.23950197,1.4226416000000002,-20.242706
1,1.2549903,0.728086,-18.537453
1,1.0585986,0.60833496,-17.04296
1,0.22992188,0.7759864000000001,-15.289805
1,0.5748047,0.7041358,-14.456339000000002
1,0.8382569,0.86220706,-13.210928
1,0.7185059,0.9484278,-10.94524
1,0.8286768,1.1352394,-9.283096
1,0.36883304,1.2885206,-7.793394
1,-0.12454102,1.6477735,-5.1876125
1,-0.5125342,1.9974464,-2.8404932
1,-1.0250684,2.2321582,-1.1639795
1,-1.2645704,2.4189699,0.39757326
1,-0.9963282,2.7015822,1.3891114
1,-1.0585986,2.7255323,2.931504
1,-1.5184424,3.056045,4.497847
1,-2.4956105,3.9613624,4.8571
1,-2.7638526000000003,4.1002736,4.8379397000000015
1,-2.6249416,4.061953,4.0811133
1,-2.308799,4.023633,4.5649076
1,-2.572251,3.923042,6.725215
1,-3.3769777000000003,3.999683,9.077125
1,-3.8607717,4.4595265,9.958491
1,-3.779341000000001,4.641548,9.671089
1,-3.7458107,4.540957499999998,9.139395
1,-3.4631984,4.526587,9.73815
1,-3.0416749,4.330195400000001,10.820699
1,-3.0656252,4.014053,11.4625635
1,-3.4009278,3.6404297,12.449312
1,-3.9182522,3.1614258,13.464801
1,-4.497847,2.6297317,13.766573
1,-5.024751,2.203418,14.5856695
1,-5.240303,1.1496094,15.332915
1,-5.676196599999999,1.1639795,16.353193
1,-5.724097,0.57959473,17.339942999999998
1,-5.0343313,-0.39278322,16.487314
1,-4.5696974,-0.8334668,14.327007
1,-4.3206153,-1.6717237,11.778707
1,-3.4584084,-2.6776319,9.623189
1,-2.5099807000000003,-4.009263,7.5970024999999985
1,-1.9591261,-5.6809864,4.790039
1,-1.2837305,-6.940767,0.64186525
1,-0.7568262,-7.443721000000001,-4.4451566
1,-0.34009278,-7.7598634,-8.564589999999999
1,-0.23950197,-7.065308,-12.343931
1,-0.56522465,-5.853428,-15.950829999999998
1,0.244292,-5.5708156,-15.126944
1,2.4141798,-4.9720607,-16.142433
1,3.5542092000000003,-2.6297317,-20.903732
1,3.5733693,0.4406836,-23.456821
1,2.8644435,2.0309765,-22.882017
1,2.2082080000000004,2.5962012000000003,-20.64507
1,2.0070264,3.0656252,-19.073936
1,2.0261867,3.8895117999999993,-19.011665
1,1.9303858,4.655918,-19.711012
1,2.0309765,4.670287999999998,-20.036734
1,1.6429834,4.6511283,-20.017574
1,0.8813671999999999,4.4547367,-20.391197
1,1.0394385,4.3014555,-20.54448
1,1.2070899,3.8607717,-19.849922
1,1.0873389,3.3817677,-18.575771
1,1.2166699,2.8261232000000005,-17.541124
1,0.89573735,2.5818312000000003,-15.6059475
1,1.4513819,2.4045997000000003,-13.34026
1,1.6573536,2.3806496,-11.0123005
1,0.85741705,2.3519094,-8.071216999999999
1,0.71371585,2.8836036,-5.4319042999999985
1,0.5029541000000001,3.6068995,-3.5542092000000003
1,0.05269043,4.0811133,-1.5232325
1,-0.22513184,4.7325587,0.07185059
1,-0.27303225,4.9481106,0.7711963000000001
1,-0.1101709,4.88584,0.85741705
1,0.11496094,5.5708156,0.35925296
1,0.033530276,6.2845316,-0.05269043
1,-0.45505372,6.0498195,0.53169435
1,-0.9436377,6.011499400000001,1.0585986
1,-0.38320315,6.1695704000000005,0.82388675
1,-0.047900394000000006,6.3803325,1.0538087
1,-0.60354495,6.342012,1.5280225
1,-1.0633887,6.3132715,1.5807129
1,-0.9532178,7.0748880000000005,2.327959
1,-0.4167334,8.828042,5.5516553
1,-0.4981641,8.837622999999997,7.070098
1,-0.07185059,8.1143265,4.4259963
1,0.009580079,8.190968,3.3817677
1,-0.25866213,7.956255400000001,3.7122805
1,0.14370118,7.438931,3.4584084
1,0.38320315,6.394702400000001,3.7937112
1,0.2203418,4.7948294,4.699028500000002
1,0.23950197,4.4643164,6.2653713
1,-0.23950197,5.1876125,7.994575500000002
1,-1.2933106,6.246211,11.031461
1,-2.792593,6.5767240000000005,13.349839
1,-5.0678616,6.6342044000000016,14.044395000000002
1,-4.4643164,5.613926,9.948912
1,-3.4296682,4.263135,7.28565
1,-4.5888577,4.430786,9.105865
1,-4.7565089999999985,3.3913480000000003,11.448194
1,-4.1625443,1.6477735,14.906602
1,-4.378096,0.7041358,18.11114
1,-5.4750147,0.37362307,18.3698
1,-6.0354495,-0.18681154,15.505357
1,-4.9385304,-1.0633887,13.019327
1,-3.2141163,-2.3135889,11.472144
1,-2.6105714,-3.7410207,9.79563
1,-2.9027638,-4.9720607,6.562353599999999
1,-3.3242872,-5.982759,2.189048
1,-2.7590625,-6.7731156000000015,-2.4668703
1,-1.096919,-7.117997999999999,-6.864126
1,0.3879932,-7.956255400000001,-11.01709
1,0.7041358,-8.770562,-13.972545000000002
1,2.6488917,-7.0748880000000005,-16.95674
1,5.4319042999999985,-3.9182522,-19.327808
1,7.0174074000000015,-1.6238233,-20.539688
1,5.704937,0.92926764,-20.606749
1,4.2918754,1.9878663,-21.004322
1,3.2524366,2.7399025000000004,-22.216202
1,2.7351124,3.5206788,-23.049670000000006
1,3.5206788,4.023633,-22.192251
1,3.63564,4.2200246,-21.555176
1,1.9160157,4.4691067,-22.024601
1,0.46942386,4.502637,-22.268892
1,0.39278322,4.1242237,-22.05334
1,0.52690434,3.5206788,-21.545597
1,0.45505372,2.8979738,-20.702549
1,0.50774413,2.1650977000000005,-19.845133
1,0.043110352000000005,1.6142433,-18.072819
1,0.4406836,1.2693603999999998,-15.495777
1,0.5987549,0.9580079,-12.578643
1,0.38320315,0.9963282,-10.729688
1,-0.047900394000000006,1.3891114,-9.848321
1,-0.9580079,1.4897022,-7.793394
1,-1.3076807,1.1831397,-5.326524
1,-1.2645704,1.3986914,-3.0991554
1,-0.98195803,1.5280225,-0.25866213
1,-0.8669971,1.6190332,2.9602442000000004
1,-0.91010743,2.2273684,4.4834766
1,-1.1496094,2.7973828,3.999683
1,-1.9016455,2.936294,4.6271777
1,-1.2166699,3.6068995,6.06419
1,-1.1927198,3.779341000000001,6.9551373
1,-1.3651612,3.5829494,7.932305
1,-1.8776954,4.061953,8.646021000000001
1,-2.1219873,4.512217,8.396939
1,-2.2848487,4.8571,8.104747
1,-2.5339308,4.8187795,8.310719
1,-2.567461,5.125342,9.0148535
1,-2.548301,5.1828227,9.800421
1,-2.6824220000000003,5.1876125,10.169253
1,-2.9027638,5.4031644,9.992022
1,-2.9937747000000003,5.6666164000000006,9.70941
1,-2.5243506,5.613926,9.532178
1,-2.3375392,5.5516553,9.814791
1,-2.5387208,5.3073635,10.413546
1,-3.0368848,5.039121,11.160791
1,-3.3290772000000004,4.8379397000000015,11.965518
1,-3.2572267000000004,4.3685160000000005,12.25292
1,-3.180586,3.8464015,12.727135
1,-2.6776319,3.2811767999999994,13.359420000000002
1,-2.1507277,2.6009912,13.45043
1,-1.8345851,2.064507,12.597803
1,-1.8776954,1.5567628,10.98835
1,-2.1171973,1.1304493,9.436378
1,-2.2273684,0.60833496,7.7550735
1,-1.8681153,-0.033530276,5.8007374
1,-1.5280225,-0.76161623,3.9469924
1,-1.2454101999999998,-1.8010547,2.0932472
1,-1.3028906999999998,-2.6824220000000003,0.33530274
1,-1.4034815,-3.7458107,-1.4418018
1,-1.101709,-5.110972,-3.4967287
1,-0.6514453,-6.006709,-5.7480474
1,0.12454102,-6.466553,-8.741821
1,1.2693603999999998,-7.141948700000001,-11.467353999999998
1,1.590293,-6.404282599999998,-14.2551565
1,0.613125,-4.0859036,-17.574654000000002
1,0.09101075,-2.2513185,-19.720592
1,0.8813671999999999,-1.1639795,-19.30865
1,2.189048,-1.2789403999999998,-18.647623
1,2.936294,-0.86220706,-18.963766
1,2.907554,-0.29698244,-19.63916
1,2.7399025000000004,0.17244141,-20.338507
1,2.3471193,0.79993653,-21.085752
1,1.5280225,1.2358302,-22.168303
1,1.101709,1.6094532,-22.369484
1,1.3891114,1.6477735,-21.219873
1,1.4465919,1.4705421,-20.76482
1,1.705254,1.4226416000000002,-21.497696
1,1.8106349,1.1112891000000005,-21.531227
1,1.6717237,0.852627,-20.185225
1,2.179468,0.52690434,-18.906284
1,2.8596535,0.17723145,-18.3698
1,2.3854396,0.07664063,-17.785416
1,1.5328126,0.16286133,-15.984360999999998
1,1.590293,0.019160157,-13.881534
1,1.7244141,-0.06227051,-12.473262
1,1.3412110000000002,0.16286133,-11.05541
1,0.85741705,0.39278322,-9.532178
1,0.16286133,0.60354495,-7.539521700000001
1,-0.27303225,0.91010743,-5.1876125
1,-0.23950197,1.0059083,-2.9698243
1,-0.60833496,1.4082716,-0.6610254
1,-1.0059083,2.3327491,1.0011181999999998
1,-0.85741705,2.811753,1.7483643
1,-0.8861573,3.151846,2.6441016
1,-1.8872755,3.3051271,4.1242237
1,-2.4860303,3.9374123,5.1780324
1,-2.064507,4.4403663,5.336104
1,-1.710044,4.82357,5.216353
1,-1.7579445,5.1397123,5.000801
1,-2.1363575,5.245093,5.3217335
1,-2.42376,5.4366946,5.738467
1,-2.2369482999999994,5.494175,5.872588
1,-2.2944287999999995,5.6809864,6.356382
1,-2.3806496,5.8007374,6.9934573
1,-2.3327491,5.925278700000002,7.5538919999999985
1,-2.548301,6.0354495,8.037686
1,-2.816543,6.183941,8.267608000000001
1,-3.0416749,6.2270513,8.669971
1,-3.420088,6.1073003,9.388477
1,-3.6883302,5.8007374,10.092612
1,-3.7074904,5.5564456,10.542876
1,-3.9326222,5.1684523,11.031461
1,-4.4691067,4.761299,11.922408
1,-4.641548,4.406836,12.861256
1,-4.4595265,3.784131,13.349839
1,-4.387676,3.027305,13.6851425
1,-4.478687,2.2561085,14.006075
1,-3.999683,1.705254,13.551021
1,-3.4152980000000004,1.1256592,11.711646
1,-2.811753,0.5029541000000001,9.062755
1,-2.3327491,-0.05269043,7.180269
1,-1.8681153,-0.79993653,5.886958
1,-1.4226416000000002,-1.705254,4.2487650000000015
1,-0.6945557,-2.8836036,1.695674
1,-0.019160157,-3.970942500000001,-1.0250684
1,0.22513184,-4.5457473,-3.67875
1,0.3161426,-4.842729599999998,-6.2653713
1,0.57001466,-5.738467,-7.913145
1,1.0729688,-5.9635987,-10.533297
1,0.68976563,-4.8475199999999985,-13.967754
1,0.3161426,-3.2380664,-16.386723999999994
1,0.6514453,-1.839375,-17.857264999999995
1,1.8058448,-1.0633887,-18.33148
1,2.9458742,-0.7424561,-18.676363
1,3.2859669,-0.05748047,-20.084635
1,3.5542092000000003,0.7568262,-21.80905
1,3.2284865000000003,1.331631,-22.177881
1,2.3471193,1.7723145,-21.89048
1,1.710044,2.3135889,-21.780308
1,1.7962648,2.5578809,-21.526436
1,2.5051906,2.5866213,-21.421055
1,2.0022364,2.5914114,-21.071383
1,1.4465919,2.4045997000000003,-19.897823
1,1.9734962,2.0357666,-19.342178
1,2.2082080000000004,1.8489552,-19.241589
1,2.3327491,1.7196240000000005,-18.575771
1,2.5195606,1.2166699,-17.339942999999998
1,2.3135889,0.91010743,-16.147223
1,2.064507,0.81909674,-15.371235999999998
1,1.8345851,0.6610254,-14.106666
1,1.7387843,0.5221143,-12.511582
1,1.2885206,0.7089258,-10.710527
1,1.1160791,0.852627,-9.010064
1,0.86220706,1.2166699,-7.486831
1,0.028740235,1.4992822,-6.05461
1,-0.732876,1.9447559,-4.2775050000000014
1,-0.6849755999999999,2.3998096,-2.687212
1,-0.6658155,2.7111623,-1.3555812
1,-1.1160791,3.027305,0.18681154
1,-1.0298585,3.4057178,1.6238233
1,-0.86220706,3.9278321,2.3998096
1,-1.096919,4.2152348,2.8883936
1,-1.5615528,4.5792775,3.2332766
1,-1.954336,4.833149400000001,3.6212697
1,-2.0980372000000003,5.087022,4.397256
1,-1.8681153,5.0774417000000005,5.0822315
1,-1.695674,4.9529004,5.604346
1,-2.2177882,4.761299,6.4809230000000015
1,-2.5051906,4.6607084,7.3479204
1,-2.6297317,4.6750784,8.042475999999999
1,-2.816543,4.622388,8.698711
1,-2.9794044,4.526587,9.671089
1,-2.9746144,4.6511283,10.245894
1,-2.6967921,4.7325587,9.814791
1,-2.7399025000000004,4.7229785999999985,9.297466
1,-2.816543,4.7517190000000005,9.2256155
1,-2.811753,4.8044095,9.627979
1,-3.1183155,4.9289503,9.8866415
1,-3.3482375,4.9576907,9.666299
1,-3.7649708,4.9145803,9.79084
1,-4.2343946,4.7708793,10.466236
1,-4.478687,4.387676,11.548784
1,-4.5457473,3.9469924,12.664864
1,-4.449946400000001,3.4679885,12.952266
1,-4.2200246,2.8979738,12.669654
1,-3.9901028,2.318379,12.631333
1,-3.2620168,1.585503,12.813355
1,-2.5578809,0.76161623,12.521163
1,-2.2752686,0.043110352000000005,11.02667
1,-1.4992822,-0.67539555,9.0148535
1,-0.34488282,-1.3603711,6.8832865000000005
1,-0.74724615,-2.0166066,4.9385304
1,-2.3998096,-2.572251,2.8788135
1,-2.0166066,-3.4967287,0.23471193
1,-0.51732427,-4.679868,-2.7590625
1,0.37362307,-5.245093,-5.8007374
1,0.25866213,-5.039121,-8.703502
1,-0.488584,-4.9241605,-10.250684
1,0.57001466,-5.518125,-12.276871
1,2.3710694,-4.766089,-13.905484
1,2.3519094,-2.4141798,-16.472944000000002
1,1.2741505,-1.465752,-19.241589
1,0.17723145,-0.6466553,-19.907404
1,0.82388675,-0.45026368,-20.530107
1,1.8729054,0.22992188,-22.01502
1,1.9112257,0.9963282,-22.925127
1,1.1975098,0.9915381,-22.977818
1,0.3161426,1.3843213,-22.762266
1,0.25866213,1.7914747,-22.963448
1,0.3784131,1.9255958,-22.824537
1,0.244292,1.8345851,-21.612658
1,0.20118165,1.4178516,-20.142115
1,0.57001466,1.2789403999999998,-19.236797
1,0.5508545,1.4034815,-18.844015
1,0.4406836,1.2741505,-18.350641
1,0.7664063,0.71371585,-17.612973999999994
1,0.9244776,0.39278322,-16.511264999999998
1,1.3076807,0.4167334,-15.227535
1,1.6813037,0.43110353,-13.943805
1,0.7376661,0.6706055000000001,-12.4684725
1,-0.2203418,0.8813671999999999,-10.868599
1,0.043110352000000005,1.0633887,-9.72378
1,0.3879932,1.3747413,-8.56938
1,0.60354495,1.3699511999999998,-7.0030375
1,-0.4981641,1.7435743,-4.8091993
1,-1.5663428,2.3566992,-2.9937747000000003
1,-1.331631,2.9027638,-2.2944287999999995
1,-1.0346485,3.2620168,-2.3998096
1,-1.8058448,3.4871485,-1.8106349
1,-2.2561085,3.6548,-0.9196875
1,-2.3806496,3.6452198,0.07664063
1,-2.2944287999999995,3.276387,1.7866846
1,-2.0213966,3.166216,3.6691701
1,-1.6908839,3.544629,4.8571
1,-1.9016455,4.0859036,6.0498195
1,-2.7111623,4.038003,6.9838770000000014
1,-2.572251,3.9374123,6.9886675
1,-2.3710694,3.7601807,6.9838770000000014
1,-2.44771,3.66438,7.817344
1,-2.4860303,3.65959,8.880733
1,-2.318379,3.8080812000000006,9.72378
1,-2.2561085,3.5206788,9.963282
1,-2.4093897,3.5733693,10.418335
1,-2.567461,3.6164796,10.95961
1,-2.7782228,3.4919386,11.524835
1,-2.9219239,3.3051271,11.534414
1,-3.166216,3.0225148,11.433824
1,-3.515889,2.567461,12.296031
1,-3.6404297,2.1603076,13.733043
1,-3.5781593000000003,1.8154249,14.68147
1,-3.6021094,1.3843213,14.762901
1,-3.8655617,1.0346485,14.489869
1,-3.8799317,0.74724615,14.384488
1,-3.3721876,0.48379397,13.958175
1,-2.8500733,0.35925296,12.971426
1,-2.567461,0.100590825,11.639795
1,-2.5243506,-0.16286133,10.514136
1,-2.3806496,-0.5460645000000001,9.383687
1,-2.179468,-0.8095166,7.434141
1,-1.6046631000000002,-1.2597803,4.90979
1,-0.9053174,-1.9160157,2.7255323
1,-0.8765772,-2.8357031000000004,1.0681788
1,-1.0202783000000002,-3.7649708,-0.9244776
1,-0.63707525,-4.334985700000002,-3.4967287
1,-0.14849122,-5.010381,-5.709727
1,0.023950197000000003,-6.217471,-7.395820599999999
1,0.46942386,-6.950347,-10.044712
1,1.8872755,-6.6342044000000016,-13.881534
1,3.6068995,-5.0439115,-16.554377
1,4.1098537,-2.7590625,-18.50871
1,2.9219239,-1.5376027,-20.079845
1,2.1555176,-0.60354495,-20.606749
1,3.151846,0.014370117,-20.937262
1,4.387676,0.5029541000000001,-21.521646
1,4.330195400000001,1.0394385,-21.789888
1,3.166216,1.6238233,-21.83779
1,2.5195606,2.0118165,-21.478537
1,3.0416749,2.1315675,-21.224665
1,3.3051271,2.2944287999999995,-21.334835
1,2.8261232000000005,2.3758595,-21.191133
1,2.198628,2.0980372000000003,-20.554058
1,2.2273684,1.7914747,-19.64874
1,2.8452833,1.3603711,-18.848804
1,3.4727786,0.90052736,-18.039288
1,3.3578174,0.48379397,-17.153131
1,3.175796,0.20118165,-16.228653
1,2.5770411,0.18681154,-15.093413
1,2.2273684,0.16765137,-13.713882
1,2.1076174,0.12933107,-12.387041
1,1.7723145,0.39278322,-10.99314
1,1.101709,0.6610254,-9.604029
1,0.50774413,0.79993653,-8.052056
1,-0.19160157,1.0154883,-6.2989016
1,-0.25387207,1.3076807,-4.9145803
1,-0.27303225,1.5711329,-3.6691701
1,-1.2022998,1.3795313,-1.5280225
1,-1.9687061,1.4944923,0.8047266
1,-1.4944923,1.8585353,2.0022364
1,-1.2549903,2.2513185,3.0368848
1,-1.4849122,2.572251,4.0667434
1,-1.9830762,2.7351124,4.761299
1,-2.4141798,3.0368848,5.1732426
1,-2.663262,3.166216,5.6666164000000006
1,-2.8452833,3.0799952,6.2031007
1,-2.7207422,2.9698243,6.7587449999999984
1,-2.8357031000000004,2.7255323,7.994575500000002
1,-3.7027004,2.6297317,9.623189
1,-3.970942500000001,2.6776319,10.183623
1,-3.68354,2.792593,10.380015
1,-3.2045362,2.8548634,10.753638
1,-2.8644435,2.792593,11.06978
1,-2.9410841,2.8500733,11.213482
1,-3.2284865000000003,2.8836036,11.266172
1,-3.180586,2.8261232000000005,11.419454
1,-2.9841945,2.543511,12.15712
1,-2.8692336,2.1507277,13.076807
1,-3.0991554,1.7627343999999998,14.010865
1,-3.4392480000000005,1.3603711,14.614409
1,-3.319497,1.0490186,14.772481
1,-2.912344,0.5748047,15.203585
1,-2.7638526000000003,0.014370117,15.692168
1,-2.7830129,-0.3161426,15.0359335
1,-2.7015822,-0.45505372,14.202466
1,-2.7734327000000003,-0.7185059,14.221626
1,-2.9027638,-1.2597803,13.986915
1,-3.1470559,-1.829795,12.085269
1,-3.2715970000000003,-2.179468,8.602911
1,-2.4141798,-2.5243506,4.9624805
1,-1.3555812,-3.1614258,3.2332766
1,-1.3603711,-4.0667434,1.9112257
1,-1.2118799999999998,-5.0199614000000015,-0.45505372
1,-0.74724615,-6.0450296,-3.0225148
1,-0.2778223,-6.945557000000001,-5.609136
1,0.2921924,-7.812553999999999,-8.281978
1,0.5029541000000001,-8.123906,-10.375225
1,0.9196875,-8.071216999999999,-13.048067
1,1.4418018,-6.926397,-16.439415
1,1.4322218,-4.9002104000000015,-19.184107
1,2.1315675,-3.0608351000000003,-20.094215
1,2.6967921,-2.189048,-18.642834
1,2.0932472,-2.44771,-18.772163
1,1.8872755,-1.4178516,-20.300186
1,2.8357031000000004,-0.728086,-21.382736
1,3.1422658,-1.0490186,-21.99107
1,2.6345215,-0.7424561,-23.15984
1,2.2800586,0.06227051,-23.739435
1,2.0453467,0.1101709,-22.776636
1,2.059717,-0.1820215,-21.847368
1,1.705254,-0.14849122,-21.593496
1,1.3939015,-0.17244141,-20.87499
1,1.5711329,-0.4167334,-19.739752
1,1.7339942,-0.6945557,-18.661993
